38 126 247 229
10 116 134 230
0 115 142 230
9 144 133 234
0 146 142 246
8 115 135 230
0 111 146 375
10 150 134 230
0 130 146 235
0 144 133 234
10 150 135 230
10 146 142 230
0 168 127 236
8 115 142 230
0 34 247 232
0 61 146 235
0 134 135 230
10 168 127 230
0 99 143 174
0 34 142 246
39 126 224 219
34 122 327 217
0 37 184 304
24 156 260 221
0 53 223 235
0 34 187 232
0 134 142 230
0 116 134 232
0 134 144 230
34 124 205 197
0 107 121 158
10 146 168 230
0 61 143 174
0 122 133 234
0 168 133 246
40 159 168 216
10 136 247 230
39 126 247 229
0 61 146 375
0 37 184 230
31 53 241 219
0 61 143 234
0 136 247 232
0 54 260 234
0 34 170 375
0 10 239 230
0 115 142 304
0 56 226 234
0 34 264 232
0 145 142 246
0 116 168 232
0 56 244 234
0 115 168 232
0 34 187 375
0 54 253 234
