255 305 399 331
298 304 400 312
383 349 436 375
290 267 485 329
392 346 436 375
256 305 396 319
228 305 421 375
333 315 354 333
298 321 421 352
229 299 489 375
332 356 383 375
344 356 376 372
168 303 421 375
353 275 500 375
379 312 486 375
215 303 500 375
380 275 442 324
294 313 351 331
305 319 421 354
399 301 483 320
256 305 420 352
300 334 374 375
0 211 500 375
174 245 480 316
419 304 486 375
391 350 435 375
379 311 464 335
295 311 351 329
294 307 351 331
359 345 405 357
364 320 400 332
351 307 420 342
371 345 408 357
364 320 432 352
391 351 431 375
348 304 437 338
248 268 398 324
368 313 420 326
348 345 389 375
399 228 500 364
398 301 483 320
290 349 391 375
332 306 384 320
394 311 461 335
396 269 485 329
270 319 421 354
408 228 500 368
394 313 461 335
330 306 384 320
346 334 389 352
368 325 404 344
346 307 420 352
292 305 397 311
418 304 487 375
351 307 420 336
418 311 467 335
382 325 414 342
305 307 348 330
229 311 389 375
248 260 396 316
294 311 351 331
392 346 430 375
386 302 500 375
368 306 417 325
292 302 460 353
384 302 437 319
295 307 354 333
346 307 389 352
299 306 389 352
256 305 384 333
346 315 367 338
395 324 432 352
299 306 384 340
305 307 354 333
353 307 384 331
250 316 389 375
393 347 431 375
250 268 354 333
346 315 389 352
346 320 436 375
348 302 500 375
224 302 500 375
368 309 409 320
348 306 437 336
347 315 367 338
276 316 348 332
250 316 408 375
165 245 396 316
347 307 368 338
295 306 353 329
256 305 354 333
359 342 411 357
302 334 351 362
165 245 396 320
421 312 465 334
0 228 482 333
0 266 500 375
290 334 391 375
353 275 442 331
348 301 500 375
161 289 460 375
256 306 354 332
0 215 500 375
283 306 348 332
353 275 465 334
217 252 482 316
129 216 398 320
0 229 482 316
174 245 480 333
136 305 389 352
283 305 397 333
344 349 391 375
0 270 500 375
256 304 400 332
255 305 414 342
36 211 500 375
0 0 500 375
348 304 487 375
136 303 500 375
215 311 389 375
0 265 500 375
348 304 460 338
129 216 479 352
400 227 500 375
292 321 421 353
248 259 482 316
36 211 482 316
400 227 500 366
294 313 389 352
386 223 500 375
393 347 437 375
384 302 460 334
348 304 500 375
161 289 483 375
348 302 437 336
298 301 483 320
312 349 391 375
0 267 500 375
379 301 486 375
218 306 391 375
380 275 465 334
292 302 460 375
294 307 389 352
224 305 421 375
392 346 431 375
382 349 408 375
411 225 500 375
300 334 389 375
290 223 500 372
256 304 460 338
332 349 391 375
250 266 447 333
399 223 500 375
418 304 500 375
30 265 389 375
299 306 436 375
129 246 479 316
253 304 460 375
283 306 354 333
248 264 397 317
250 316 395 375
0 265 421 375
256 306 384 332
378 309 464 335
0 212 500 363
0 194 500 375
294 334 351 366
348 302 460 336
298 306 432 357
248 264 434 317
253 306 421 352
181 306 391 375
150 306 391 375
165 245 400 332
255 305 414 352
191 267 483 375
255 305 421 352
129 216 479 320
283 268 398 333
250 268 384 333
215 304 460 375
255 305 399 352
368 309 467 335
253 304 460 354
411 225 500 363
353 275 486 375
268 194 500 366
215 301 500 375
217 252 396 316
248 216 500 375
253 307 421 354
0 216 482 316
229 299 500 375
290 352 383 375
256 305 396 331
250 316 374 375
0 265 389 375
136 299 500 375
353 228 500 375
348 302 486 375
290 252 485 329
399 223 500 364
324 212 500 363
129 246 482 316
155 233 482 332
298 306 432 352
253 307 421 357
299 306 432 352
250 266 397 333
78 246 482 316
298 275 500 375
217 250 482 316
371 345 436 375
155 233 400 332
203 229 479 316
215 259 482 375
250 212 489 333
253 307 421 375
294 306 389 352
255 305 467 352
353 272 500 375
136 269 389 352
203 229 482 333
197 306 391 375
111 306 391 375
0 211 482 316
248 216 481 317
0 207 436 375
0 207 500 375
248 218 500 324
161 212 483 375
250 212 500 375
191 267 460 375
294 307 420 352
0 230 482 316
136 223 500 375
214 317 391 375
191 216 500 375
214 306 391 375
155 212 482 332
0 265 436 375
111 275 500 375
208 229 479 316
174 245 482 333
136 299 489 375
203 229 479 333
248 218 500 375
181 306 436 375
0 212 500 375
0 212 482 332
256 305 420 353
0 211 479 352
161 212 500 375
0 212 482 333
203 218 482 333
0 203 360 375
0 194 500 366
0 215 482 333
129 216 500 375
0 135 500 375
120 215 500 375
0 118 500 375
215 260 421 375
0 215 482 316
94 228 482 333
215 223 500 375
0 203 500 375
0 75 500 375
